,episodes,sfw,start_year,episode_duration,total_duration,synopsis_char_count,title_char_count,start_date_day_of_year,end_date_day_of_year,broadcast_time,is_Action,is_Adventure,is_Drama,is_Fantasy,is_Sci-Fi,is_Suspense,is_Supernatural,is_Award Winning,is_Romance,is_Comedy,is_Sports,is_Slice of Life,is_Mystery,is_Avant Garde,is_Horror,is_Ecchi,is_Gourmet,is_Boys Love,is_Girls Love,is_Hentai,is_Erotica,is_Shounen,is_Seinen,is_Shoujo,is_Josei,is_Kids,score
125,23.0,1,2021.0,1370.0,31510.0,879,14,288.0,84.0,55.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61
126,12.0,1,2012.0,1440.0,17280.0,718,28,10.0,87.0,120.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24
127,12.0,1,2021.0,1422.0,17064.0,770,48,187.0,264.0,1380.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32
129,20.0,1,2021.0,1500.0,30000.0,1134,18,102.0,242.0,1370.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.38
130,24.0,1,2010.0,1460.0,35040.0,752,10,8.0,176.0,85.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12
131,11.0,1,2021.0,1440.0,15840.0,1037,21,14.0,84.0,1350.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.18
132,12.0,1,2016.0,1420.0,17040.0,761,28,280.0,351.0,1350.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.2
133,24.0,1,2014.0,1440.0,34560.0,1175,51,95.0,256.0,30.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.1
135,13.0,1,2016.0,1460.0,18980.0,392,30,184.0,268.0,1320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,8.11
137,24.0,1,2012.0,1420.0,34080.0,1543,27,283.0,85.0,30.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11
138,62.0,1,1999.0,1380.0,85560.0,871,15,289.0,90.0,1080.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.4
139,7.0,1,2021.0,1455.0,10185.0,853,34,283.0,332.0,1395.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.39
140,13.0,1,2008.0,1440.0,18720.0,843,21,9.0,86.0,90.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23
142,22.0,1,2016.0,1500.0,33000.0,1117,15,282.0,77.0,1380.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.39
144,22.0,1,2017.0,1500.0,33000.0,984,26,287.0,90.0,1380.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.95
146,25.0,1,2020.0,1400.0,35000.0,1214,24,98.0,266.0,90.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.57
147,13.0,1,2021.0,1380.0,17940.0,1025,24,96.0,180.0,90.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.03
149,11.0,1,2019.0,1365.0,15015.0,992,5,193.0,263.0,55.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.34
151,24.0,1,2013.0,1467.0,35208.0,1101,12,277.0,87.0,125.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.04
152,11.0,1,2014.0,1370.0,15070.0,1063,17,192.0,269.0,50.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1
153,25.0,1,2012.0,1450.0,36250.0,1317,16,99.0,266.0,118.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.08
154,12.0,1,2015.0,1580.0,18960.0,692,15,277.0,354.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46
155,26.0,1,1998.0,1480.0,38480.0,1032,6,91.0,273.0,75.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.22
156,22.0,1,2012.0,1539.0,33858.0,857,6,114.0,261.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09
158,7.0,1,2017.0,1350.0,9450.0,715,26,224.0,225.0,1140.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9
159,24.0,1,2021.0,1421.0,34104.0,1235,15,101.0,262.0,128.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.1
160,11.0,1,2012.0,1555.0,17105.0,954,14,8.0,78.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.15
162,25.0,1,2019.0,1434.0,35850.0,1221,24,96.0,264.0,83.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.22
163,11.0,1,2011.0,1375.0,15125.0,987,10,189.0,259.0,45.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.38
165,25.0,1,2012.0,1360.0,34000.0,857,14,273.0,82.0,30.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.3
166,13.0,1,2018.0,1426.0,18538.0,1337,23,2.0,86.0,1230.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53
170,220.0,1,2002.0,1404.0,308880.0,673,6,276.0,39.0,1170.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.97
